sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,100,356,313,755,84.56488869501332,0.0,19.98001998001998,168.99116508491508,8661.0
TOTAL,100,356,313,755,84.56488869501332,0.0,19.98001998001998,168.99116508491508,8661.0
